tick,population,births,deaths,moves,attacks,mean_internal_energy
1,3,0,0,2,0,51.46666666666666
2,3,0,0,3,0,50.76666666666666
3,3,0,0,3,0,50.06666666666666
4,3,0,0,3,0,49.36666666666665
5,3,0,0,2,0,50.833333333333314
6,3,0,0,2,0,52.29999999999998
7,3,0,0,2,0,53.76666666666665
8,3,0,0,2,0,54.39999999999998
9,3,0,0,2,0,54.0333333333333
10,3,0,0,3,0,53.33333333333331
11,3,0,0,2,0,52.799999999999976
12,3,0,0,1,0,54.4333333333333
13,3,0,0,1,0,55.399999999999956
14,3,0,0,1,0,56.366666666666625
15,3,0,0,2,0,55.16666666666663
16,3,0,0,1,0,56.13333333333329
17,3,0,0,1,0,57.099999999999945
18,3,0,0,1,0,57.599999999999966
19,3,0,0,2,0,56.39999999999997
20,3,0,0,0,0,56.83333333333329
21,3,0,0,0,0,56.69999999999997
22,3,0,0,0,0,56.566666666666634
23,3,0,0,0,0,56.4333333333333
24,3,0,0,0,0,56.29999999999996
25,3,0,0,0,0,56.16666666666663
26,3,0,0,0,0,56.033333333333296
27,3,0,0,0,0,55.83333333333329
28,3,0,0,0,0,55.76666666666662
29,3,0,0,1,0,55.399999999999956
30,3,0,0,1,0,55.033333333333296
31,3,0,0,1,0,54.66666666666662
32,3,0,0,1,0,54.299999999999955
33,3,0,0,0,0,55.09999999999996
34,3,0,0,0,0,54.96666666666662
35,3,0,0,0,0,54.833333333333286
36,3,0,0,0,0,54.299999999999955
37,3,0,0,0,0,54.099999999999945
38,3,0,0,0,0,53.56666666666661
39,3,0,0,0,0,53.36666666666662
40,3,0,0,0,0,53.33333333333328
41,3,0,0,0,0,53.29999999999995
42,3,0,0,0,0,53.266666666666616
43,3,0,0,0,0,53.23333333333327
44,3,0,0,0,0,53.19999999999994
45,3,0,0,0,0,53.16666666666661
46,3,0,0,0,0,53.13333333333327
47,3,0,0,0,0,53.09999999999994
48,3,0,0,1,0,52.73333333333326
49,3,0,0,0,0,52.96666666666661
50,3,0,0,0,0,52.83333333333328
51,3,0,0,0,0,52.69999999999994
52,3,0,0,0,0,52.566666666666606
53,3,0,0,0,0,52.43333333333328
54,3,0,0,0,0,51.89999999999994
55,3,0,0,1,0,51.19999999999994
56,3,0,0,1,0,50.499999999999936
57,3,0,0,0,0,51.89999999999994
58,3,0,0,0,0,51.7666666666666
59,3,0,0,0,0,51.63333333333327
60,3,0,0,0,0,51.499999999999936
61,3,0,0,0,0,51.366666666666596
62,3,0,0,0,0,53.23333333333327
63,3,0,0,0,0,55.09999999999993
64,3,0,0,0,0,54.966666666666605
65,3,0,0,0,0,56.833333333333265
66,3,0,0,0,0,57.96666666666659
67,3,0,0,0,0,58.0666666666666
68,3,0,0,0,0,57.93333333333326
69,3,0,0,0,0,57.799999999999926
70,3,0,0,0,0,57.66666666666659
71,3,0,0,0,0,57.46666666666659
72,3,0,0,0,0,57.266666666666595
73,3,0,0,0,0,57.066666666666585
74,3,0,0,0,0,56.86666666666659
75,3,0,0,0,0,56.33333333333325
76,3,0,0,0,0,55.79999999999992
77,3,0,0,0,0,55.26666666666659
78,3,0,0,0,0,54.73333333333324
79,3,0,0,0,0,54.19999999999991
80,3,0,0,0,0,56.66666666666659
81,3,0,0,0,0,56.53333333333325
82,3,0,0,1,0,56.233333333333256
83,3,0,0,0,0,58.099999999999916
84,3,0,0,1,0,59.79999999999992
85,3,0,0,1,0,61.499999999999915
86,3,0,0,0,0,62.533333333333246
87,3,0,0,0,0,62.56666666666658
88,3,0,0,0,0,62.59999999999991
89,3,0,0,0,0,62.63333333333325
90,3,0,0,0,0,62.66666666666658
91,3,0,0,0,0,62.299999999999905
92,3,0,0,0,0,62.06666666666658
93,3,0,0,0,0,61.76666666666657
94,3,0,0,0,0,61.466666666666576
95,3,0,0,1,0,60.833333333333236
96,3,0,0,1,0,60.13333333333324
97,3,0,0,1,0,59.933333333333245
98,3,0,0,0,0,59.933333333333245
99,3,0,0,0,0,59.63333333333324
100,3,0,0,1,0,59.333333333333236
101,3,0,0,0,0,61.1999999999999
102,3,0,0,0,0,62.8999999999999
103,3,0,0,0,0,62.93333333333323
104,3,0,0,1,0,62.7999999999999
105,3,0,0,1,0,62.49999999999991
106,3,0,0,2,0,62.2999999999999
107,3,0,0,1,0,62.3999999999999
108,3,0,0,1,0,62.266666666666566
109,3,0,0,2,0,61.8999999999999
110,3,0,0,2,0,61.36666666666656
111,3,0,0,0,0,62.033333333333225
112,3,0,0,1,0,61.733333333333235
113,3,0,0,0,0,63.533333333333225
114,3,0,0,1,0,62.83333333333323
115,3,0,0,0,0,64.29999999999988
116,3,0,0,0,0,65.76666666666655
117,3,0,0,0,0,67.23333333333322
118,3,0,0,0,0,67.86666666666655
119,3,0,0,0,0,67.49999999999989
120,3,0,0,1,0,67.29999999999988
121,3,0,0,3,0,66.59999999999988
122,3,0,0,1,0,68.23333333333322
123,3,0,0,1,0,69.86666666666655
124,3,0,0,2,0,69.33333333333321
125,3,0,0,1,0,69.79999999999994
126,3,0,0,1,0,69.49999999999994
127,3,0,0,0,0,69.3666666666666
128,3,0,0,1,0,69.0666666666666
129,3,0,0,0,0,70.93333333333327
130,3,0,0,0,0,72.79999999999994
131,3,0,0,0,0,74.6666666666666
132,3,0,0,0,0,75.69999999999993
133,3,0,0,0,0,75.6666666666666
134,3,0,0,0,0,75.7666666666666
135,3,0,0,0,0,75.79999999999994
136,3,0,0,0,0,75.66666666666659
137,3,0,0,0,0,75.4666666666666
138,3,0,0,0,0,75.2666666666666
139,3,0,0,1,0,74.56666666666659
140,3,0,0,1,0,74.9666666666666
141,3,0,0,1,0,75.66666666666659
142,3,0,0,1,0,75.53333333333325
143,3,0,0,1,0,75.39999999999992
144,3,0,0,0,0,77.43333333333324
145,3,0,0,1,0,78.43333333333328
146,3,0,0,0,0,78.76666666666661
147,3,0,0,0,0,78.8666666666666
148,3,0,0,0,0,78.9666666666666
149,3,0,0,0,0,78.89999999999993
150,3,0,0,0,0,79.09999999999994
151,3,0,0,0,0,79.26666666666661
152,3,0,0,1,0,79.13333333333327
153,3,0,0,0,0,79.23333333333328
154,3,0,0,0,0,79.09999999999992
155,3,0,0,1,0,78.93333333333327
156,3,0,0,0,0,79.09999999999992
157,3,0,0,1,0,78.73333333333326
158,3,0,0,1,0,78.3666666666666
159,3,0,0,1,0,77.99999999999993
160,3,0,0,0,0,78.83333333333326
161,3,0,0,0,0,78.7666666666666
162,3,0,0,0,0,78.69999999999993
163,3,0,0,0,0,78.63333333333325
164,3,0,0,0,0,78.43333333333327
165,3,0,0,0,0,78.36666666666659
166,3,0,0,0,0,80.23333333333325
167,3,0,0,0,0,80.86666666666659
168,3,0,0,0,0,80.96666666666658
169,3,0,0,0,0,80.83333333333326
170,3,0,0,0,0,80.63333333333325
171,3,0,0,0,0,80.93333333333324
172,3,0,0,0,0,80.8999999999999
173,3,0,0,0,0,80.86666666666657
174,3,0,0,0,0,80.83333333333324
175,3,0,0,0,0,80.7999999999999
176,3,0,0,0,0,80.76666666666657
177,3,0,0,0,0,81.09999999999991
178,3,0,0,0,0,80.96666666666657
179,3,0,0,0,0,80.83333333333324
180,3,0,0,0,0,81.36666666666656
181,3,0,0,0,0,81.3999999999999
182,3,0,0,0,0,81.43333333333322
183,3,0,0,0,0,81.39999999999989
184,3,0,0,0,0,81.49999999999989
185,3,0,0,0,0,81.53333333333323
186,3,0,0,0,0,81.39999999999988
187,3,0,0,0,0,81.5999999999999
188,3,0,0,0,0,81.56666666666655
189,3,0,0,0,0,81.36666666666655
190,3,0,0,0,0,81.49999999999987
191,3,0,0,0,0,81.29999999999988
192,3,0,0,0,0,81.43333333333321
193,3,0,0,0,0,81.39999999999986
194,3,0,0,0,0,81.36666666666653
195,3,0,0,0,0,81.16666666666653
196,3,0,0,0,0,80.96666666666653
197,3,0,0,0,0,81.26666666666652
198,3,0,0,0,0,81.23333333333319
199,3,0,0,0,0,81.19999999999986
200,3,0,0,0,0,83.16666666666652
