tick,population,births,deaths,moves,absorptions,mean_internal_energy
45484,399,0,0,0,8,97.67764154179714
45485,398,0,1,0,8,97.87883656118797
45486,398,0,0,0,7,97.87198385694923
45487,398,0,0,0,7,97.85576174216216
45488,398,0,0,0,7,97.81977901431922
45489,398,0,0,1,7,97.87689276196015
45490,400,2,0,0,10,97.44256830870523
45491,400,0,0,0,10,97.43673531609367
45492,400,0,0,0,10,97.43147224016526
45493,400,0,0,0,10,97.4534651673859
45494,401,1,0,0,11,97.23207002099264
45495,401,0,0,0,11,97.22054195100283
45496,401,0,0,0,11,97.20605528548629
45497,401,0,0,0,11,97.13349467059396
45498,401,0,0,0,11,97.16485698532902
45499,401,0,0,0,11,97.20246922287247
45500,401,0,0,1,11,97.22234476473533
45501,401,0,0,0,11,97.23927237895887
45502,401,0,0,0,11,97.24732274448726
45503,400,0,1,0,11,97.42990409301969
45504,401,1,0,0,11,97.2183872642512
45505,401,0,0,0,11,97.26668456145995
45506,400,0,1,0,11,97.4221812258034
45507,399,0,1,0,10,97.63986755459337
45508,399,0,0,0,9,97.60401055858985
45509,399,0,0,0,9,97.65531701162688
45510,400,1,0,0,11,97.38627511804583
45511,399,0,1,0,11,97.64533445868095
45512,399,0,0,1,10,97.62059402158525
45513,399,0,0,0,10,97.64118281512536
45514,399,0,0,1,10,97.6654583369363
45515,399,0,0,0,10,97.64188287326093
45516,399,0,0,0,10,97.61514592840835
45517,399,0,0,0,10,97.57500976433599
45518,398,0,1,0,10,97.8050727941165
45519,399,1,0,0,10,97.54162190766581
45520,399,0,0,0,10,97.54210522897323
45521,399,0,0,0,10,97.62275138893852
45522,399,0,0,0,10,97.69698106721843
45523,398,0,1,0,10,97.83897748329208
45524,398,0,0,0,8,97.8708643500947
45525,398,0,0,0,8,97.8816724636511
45526,397,0,1,0,8,98.16920040821746
45527,397,0,0,0,7,98.14154301923466
45528,398,1,0,0,8,97.89386920416291
45529,398,0,0,1,8,97.92057721313262
45530,398,0,0,0,8,97.86038311389497
45531,398,0,0,0,8,97.82479974305353
45532,398,0,0,0,8,97.8106408760018
45533,398,0,0,0,8,97.84256987368425
45534,398,0,0,0,8,97.87631344568804
45535,398,0,0,0,8,97.92672343208214
45536,398,0,0,0,8,97.92871501069004
45537,398,0,0,1,8,97.8713819145182
45538,396,0,2,0,8,98.35900501420085
45539,396,0,0,0,5,98.41377395103272
45540,396,0,0,0,5,98.35476270123642
45541,396,0,0,0,5,98.3406950430716
45542,396,0,0,0,5,98.38819182146717
45543,396,0,0,0,5,98.40603983058257
45544,396,0,0,0,5,98.35010571144409
45545,395,0,1,0,5,98.58011563944162
45546,395,0,0,0,4,98.61528666273708
45547,395,0,0,0,4,98.60791585378936
45548,394,0,1,0,4,98.84301066613497
45549,395,1,0,0,4,98.5942766447367
45550,395,0,0,0,4,98.59256029211164
45551,395,0,0,0,4,98.51779220447814
45552,395,0,0,0,4,98.59239125199547
45553,395,0,0,0,4,98.58729412956137
45554,395,0,0,0,4,98.56246032107272
45555,395,0,0,0,4,98.55973488297876
45556,395,0,0,0,4,98.613573911756
45557,395,0,0,0,4,98.56322325721655
45558,395,0,0,0,4,98.582471469925
45559,395,0,0,0,4,98.59443888970699
45560,395,0,0,0,4,98.5723276846071
45561,395,0,0,0,4,98.5520650309106
45562,395,0,0,0,4,98.55696937461254
45563,395,0,0,0,4,98.58644818248193
45564,395,0,0,0,4,98.5828175252057
45565,395,0,0,0,4,98.60475707777057
