tick,population,births,deaths,moves,attacks,mean_internal_energy
8759,245,0,0,0,0,96.20677187518015
8760,245,0,0,1,0,96.38207799762914
8761,246,1,0,0,0,96.07625654235422
8762,246,0,0,0,0,96.18072808706967
8763,245,0,1,0,1,96.51701677313933
8764,244,0,1,0,1,96.86257831729156
8765,242,0,2,0,2,97.06640127859148
8766,241,0,1,0,1,97.2708261801624
8767,242,1,0,1,0,96.91888061743445
8768,241,0,1,0,1,96.98036974862714
8769,242,1,0,1,0,96.74326078272371
8770,242,0,0,0,0,96.84772359264107
8771,242,0,0,0,0,96.78739301412867
8772,242,0,0,0,0,96.86714508024437
8773,243,1,0,0,0,96.57139551201291
8774,243,1,1,1,1,96.33682761077834
8775,242,0,1,0,1,96.65495499759975
8776,242,0,0,0,0,96.78036822074024
8777,243,1,0,0,0,96.45349427744502
8778,242,0,1,0,1,96.87045086536835
8779,242,0,0,0,0,96.8638392951204
8780,242,1,1,0,1,96.61755830338488
8781,241,0,1,0,1,97.03887597269352
8782,241,0,0,1,0,97.1058884208263
8783,242,1,0,0,0,96.92652524553364
8784,243,1,0,0,0,96.53588110872074
8785,243,0,0,1,0,96.63361773423514
8786,243,0,0,0,0,96.8138646478154
8787,243,0,0,0,0,96.98053131448205
8788,243,0,0,0,0,97.02826793999645
8789,243,0,0,1,0,97.12250662312402
8790,243,0,0,0,0,97.20551073835036
8791,244,1,0,0,0,96.88499635007844
8792,245,1,0,0,0,96.5566902425271
8793,244,0,1,0,1,96.94524225171779
8794,244,0,0,0,0,97.10794716975057
8795,245,1,0,0,0,96.793220854772
8796,246,1,0,1,0,96.57028093259812
8797,248,2,0,0,0,95.81854838709677
8798,248,1,1,1,1,95.52681451612904
8799,247,0,1,0,1,95.56781376518218
8800,248,1,0,1,0,95.27197580645162
8801,248,0,0,0,0,95.30100806451613
8802,249,1,0,0,0,95.01787148594377
8803,247,0,2,0,2,95.81842105263156
8804,247,0,0,0,0,95.89028340080972
8805,246,0,1,0,1,96.22256097560975
8806,246,0,0,0,0,96.33780487804877
8807,246,0,0,0,0,96.41646341463415
8808,246,0,0,0,0,96.57235772357723
8809,247,1,0,1,0,96.3410931174089
8810,245,0,2,1,2,96.70469387755102
8811,245,0,0,0,0,96.73061224489796
8812,246,1,0,1,0,96.4239837398374
8813,246,0,0,1,0,96.44837398373983
8814,245,0,1,0,1,96.90979591836734
8815,246,1,0,0,0,96.60528455284552
8816,245,1,2,0,2,97.10326530612245
8817,246,2,1,2,1,96.49186991869918
8818,246,1,1,0,1,96.4951219512195
8819,246,1,1,1,1,96.1979674796748
8820,248,2,0,0,0,95.54374999999999
8821,248,0,0,0,0,95.68850806451613
8822,248,0,0,0,0,95.7766129032258
8823,249,1,0,0,0,95.45240963855422
8824,249,0,0,0,0,95.61807228915661
8825,249,0,0,0,0,95.7
8826,249,0,0,0,0,95.78534136546185
8827,250,1,0,2,0,95.4838
8828,250,1,1,0,1,95.2774
8829,251,1,0,0,0,95.10597609561752
8830,250,0,1,0,1,95.537
8831,251,1,0,0,0,95.34462151394422
8832,251,0,0,0,0,95.3719123505976
8833,252,1,0,0,0,95.06746031746032
8834,250,1,3,0,3,95.11031999999999
8835,249,1,2,0,2,95.50449799196787
8836,248,0,1,2,1,95.88362903225806
8837,248,0,0,1,0,96.04673387096774
8838,249,2,1,0,1,95.76160642570281
8839,248,1,2,0,2,95.76004032258064
8840,246,0,2,0,2,96.33166666666666
8841,246,0,0,0,0,96.38601626016259
8842,246,0,0,0,0,96.39934959349593
8843,246,0,0,0,0,96.56276422764228
8844,245,0,1,0,1,96.94444897959184
8845,245,0,0,0,0,96.98179591836735
8846,247,2,0,0,0,96.29145748987854
8847,247,0,0,1,0,96.4374089068826
8848,246,0,1,0,1,96.76341463414634
8849,246,0,0,0,0,96.8119918699187
8850,247,1,0,0,0,96.46153846153847
8851,247,0,0,0,0,96.5165991902834
8852,247,0,0,1,0,96.69919028340081
8853,248,1,0,1,0,96.42258064516129
8854,249,1,0,0,0,96.08253012048192
8855,249,1,1,1,1,96.15843373493976
8856,249,0,0,0,0,96.3074297188755
8857,249,0,0,0,0,96.32409638554218
8858,250,1,0,0,0,96.0912
8859,249,0,1,1,1,96.40192771084337
8860,248,1,2,0,2,96.40637096774194
8861,249,2,1,0,1,96.08606425702811
8862,249,0,0,0,0,96.18526104417671
8863,249,1,1,0,1,96.23883534136547
8864,249,0,0,1,0,96.33642570281124
8865,251,2,0,0,0,95.6711952191235
8866,251,0,0,0,0,95.73892430278885
8867,251,0,0,1,0,95.91780876494023
8868,250,0,1,0,1,96.04548
8869,250,0,0,0,0,96.13848
8870,251,1,0,0,0,95.90366533864541
8871,250,0,1,1,1,96.02448
8872,251,2,1,0,1,95.28972111553786
8873,250,0,1,0,1,95.63448
8874,250,1,1,1,1,95.35888
8875,251,1,0,0,0,95.06462151394423
8876,251,0,0,0,0,95.18306772908367
8877,250,0,1,0,1,95.5496
8878,249,0,1,0,1,95.7078313253012
8879,249,1,1,1,1,95.57751004016065
8880,250,1,0,0,0,95.2534
8881,249,0,1,0,1,95.3273092369478
8882,249,0,0,0,0,95.42630522088352
8883,248,0,1,1,1,95.52379032258064
8884,247,0,1,1,1,95.57692307692308
8885,247,0,0,1,0,95.72044534412956
8886,248,2,1,1,1,95.16995967741934
8887,248,0,0,0,0,95.25604838709677
8888,248,0,0,0,0,95.26169354838709
8889,247,0,1,0,1,95.732995951417
8890,245,0,2,0,2,95.83632653061224
8891,245,1,1,0,1,95.85383673469387
8892,245,0,0,0,0,95.94812244897959
8893,245,0,0,0,0,95.94016326530613
8894,245,0,0,0,0,96.04934693877551
8895,245,1,1,1,1,95.98342857142856
8896,245,0,0,1,0,96.06897959183672
8897,246,1,0,1,0,95.79451219512195
