tick,population,births,deaths,moves,absorptions,mean_internal_energy
2109,70,0,0,0,11,84.74074669564408
2110,70,0,0,0,11,84.65539373824427
2111,71,1,0,0,12,83.59745465952088
2112,71,0,0,0,12,83.42778513512728
2113,71,0,0,0,12,83.43773377205127
2114,72,1,0,0,13,82.34423152884591
2115,73,1,0,0,15,81.17589197516638
2116,72,0,1,0,15,82.38913025781989
2117,73,1,0,0,15,81.17220961404067
2118,71,0,2,0,15,83.40421499783633
2119,71,0,0,0,12,83.45872579939994
2120,71,0,0,1,12,83.33641220442523
2121,70,0,1,0,12,84.22722017328495
2122,72,2,0,0,14,81.88965325070937
2123,70,0,2,0,14,84.21106062123265
2124,69,0,1,0,12,85.31259563751654
2125,67,1,3,0,12,87.94158832819
2126,66,0,1,1,7,89.40470039898838
2127,66,0,0,0,6,89.40640911533147
2128,66,0,0,0,6,89.4886254160487
2129,66,0,0,0,6,89.53499052707711
2130,65,0,1,0,6,90.84298545807346
2131,66,1,0,1,6,89.60378865378159
2132,67,1,0,1,8,88.43092679249865
2133,67,0,0,0,8,88.49283164273577
2134,68,1,0,0,11,87.17261255947511
2135,68,0,0,0,10,87.19699195339729
2136,67,0,1,0,10,88.64581455175569
2137,68,1,0,1,11,87.43665742556533
2138,69,1,0,0,12,86.22114421089367
2139,70,1,0,0,17,84.99035745037273
2140,70,0,0,0,16,85.0320496496252
2141,70,0,0,1,16,84.96066260885152
2142,70,1,1,0,18,84.78702510629523
2143,69,0,1,0,14,86.13980611424869
2144,69,0,0,0,12,86.27051501361898
2145,69,0,0,0,12,85.97839426332747
2146,69,2,2,0,15,85.93237961209589
2147,68,0,1,0,10,87.31438822114168
2148,68,0,0,0,9,87.36114827658241
2149,68,0,0,0,9,87.4831722722902
2150,66,0,2,0,9,90.1641691253477
2151,66,0,0,0,6,90.05614069746795
2152,65,0,1,0,6,91.2254765505825
2153,64,0,1,0,5,92.69515205061808
2154,64,0,0,0,4,92.65322807537805
2155,65,1,0,0,5,91.34769682633181
2156,65,0,0,0,5,91.51454949253687
2157,66,1,0,0,6,90.18864169561255
2158,66,0,0,0,6,89.95542252735011
2159,66,0,0,0,6,90.0509979914562
2160,68,2,0,0,9,87.44359495890113
2161,68,0,0,0,9,87.66975136509767
2162,68,0,0,0,9,87.75974295573262
2163,68,0,0,0,9,87.85666465671191
2164,68,0,0,0,9,87.74052280551452
2165,68,0,0,0,9,87.68777467414692
2166,68,0,0,2,8,87.52934272488949
2167,68,0,0,0,8,87.52505465000068
2168,68,0,0,0,8,87.7261073851141
2169,67,0,1,1,7,89.03165743423135
2170,66,0,1,0,6,90.37284060387987
2171,66,0,0,2,5,90.4797735441884
2172,66,0,0,0,5,90.6031169771716
2173,65,0,1,0,5,91.90217232592101
2174,65,0,0,1,3,91.82009791465349
2175,65,0,0,0,3,92.0052612113816
2176,65,0,0,1,3,92.11595244216818
2177,66,1,0,0,5,90.84780425604202
2178,67,1,0,0,5,89.70129028859256
2179,67,0,0,0,6,89.72417232807116
2180,68,1,0,0,8,88.52000685497053
2181,69,1,0,1,10,87.47703121772878
2182,68,0,1,0,10,88.61259513641201
2183,68,0,0,1,7,88.67634215205601
