tick,population,births,deaths,moves,absorptions,mean_internal_energy
8124,96,0,0,0,6,7744.073040692428
8125,96,0,0,0,6,7745.269915692428
8126,97,1,0,0,7,7666.790844396631
8127,97,0,0,0,7,7667.93259697395
8128,97,0,0,0,7,7669.422803159518
8129,97,0,0,0,7,7670.876926870858
8130,97,0,0,0,7,7671.87641140694
8131,97,0,0,0,7,7673.191359860549
8132,97,0,0,0,7,7674.412493881168
8133,97,0,0,0,7,7675.731566046117
8134,97,0,0,0,7,7677.400122747148
8135,96,0,1,0,7,7758.67696913943
8136,96,0,0,0,6,7760.463427472764
8137,96,0,0,0,6,7761.662385806098
8138,96,0,0,0,6,7763.300927472766
8139,96,0,0,0,6,7764.722802472766
8140,96,0,0,0,6,7766.358219139432
8141,96,0,0,0,6,7768.000927472766
8142,96,0,0,0,6,7769.4155108060995
8143,96,0,0,1,6,7770.3811358061
8144,97,1,0,1,7,7691.74730966377
8145,97,0,0,0,7,7692.700402447274
8146,97,0,0,0,8,7694.316381828719
8147,97,0,0,0,7,7695.721021003977
8148,97,0,0,0,8,7697.279268426658
8149,97,0,0,0,8,7698.739577705008
8150,97,0,0,0,8,7700.162773581297
8151,97,0,0,0,8,7701.76225811738
8152,98,1,0,0,9,7624.458051401897
8153,98,0,0,0,9,7626.004990177407
8154,97,0,1,0,9,7705.7903121842355
8155,97,0,0,0,7,7707.051652390421
8156,97,0,0,0,7,7708.2944358955765
8157,98,1,0,0,8,7631.008268182357
8158,98,0,0,0,8,7632.27765593746
8159,98,0,0,1,8,7633.6643906313375
8160,99,1,0,1,9,7557.785962443143
8161,99,1,1,0,10,7559.232336825454
8162,99,0,0,0,9,7560.578296421413
8163,98,0,1,0,9,7638.994273104973
8164,99,1,0,0,9,7563.233724891793
8165,99,0,0,0,9,7564.5766541847215
8166,98,0,1,0,9,7643.0653402123135
8167,99,1,0,0,9,7567.17478122027
8168,98,0,1,0,9,7645.410576345662
8169,98,0,0,0,8,7646.622821243621
8170,98,0,0,1,8,7647.932004917091
8171,98,0,0,1,8,7649.077923284439
8172,98,0,0,0,8,7650.571800835459
8173,98,0,0,0,8,7652.049351855868
8174,98,0,0,0,8,7653.238127366072
8175,99,1,0,0,9,7577.134711938132
8176,98,0,1,0,9,7655.451935239716
8177,98,0,0,1,9,7656.6672413621645
8178,97,0,1,0,9,7736.904069388395
8179,97,0,0,0,8,7738.402522996644
8180,97,0,0,0,8,7739.622626089427
8181,97,0,0,0,8,7741.070564233758
8182,97,0,0,0,8,7742.626749800769
8183,97,0,0,1,8,7744.176749800768
8184,97,0,0,1,8,7745.613347738914
8185,96,0,1,0,8,7827.727200520316
8186,97,1,0,0,8,7748.143414947943
8187,97,0,0,0,8,7749.375889174747
8188,97,0,0,0,8,7750.850631442789
8189,98,1,0,0,9,7672.788380101536
8190,98,0,0,0,9,7674.020012754598
8191,97,0,1,0,9,7754.309943514455
8192,96,0,1,1,8,7836.383749381091
8193,96,0,0,1,7,7838.094166047758
8194,96,0,0,0,7,7839.480624381092
8195,96,0,0,0,7,7840.439999381092
8196,96,0,0,0,7,7841.9722910477585
8197,96,1,1,0,8,7843.670356177998
8198,95,0,1,0,7,7927.62956579528
8199,95,0,0,0,6,7928.9827236900155
8200,95,0,0,0,6,7930.1369342163325
8201,95,0,0,0,6,7931.422723690017
8202,95,0,0,0,6,7932.775881584755
8203,95,0,0,0,6,7933.8227236900175
8204,95,0,0,0,6,7935.567460532124
8205,96,1,0,1,6,7854.38915365158
8206,96,0,0,0,6,7855.864153651582
8207,96,0,0,0,6,7857.525611984915
8208,96,0,0,0,6,7858.841236984915
8209,96,0,0,0,6,7860.178736984915
8210,95,0,1,0,6,7944.676366278986
8211,95,0,0,0,5,7946.180050489514
8212,95,0,0,0,5,7947.684787331618
8213,95,0,0,0,5,7949.117945226357
8214,95,0,0,0,5,7950.198471542147
8215,95,0,0,0,5,7951.926366278989
8216,95,0,0,0,5,7953.64478733162
8217,95,0,0,0,5,7954.994787331621
8218,95,0,0,0,5,7956.100576805305
8219,95,0,0,0,5,7957.338997857938
8220,92,0,3,0,5,8218.315739911954
8221,92,0,0,1,2,8219.803783390216
8222,92,0,0,0,2,8221.45595730326
8223,92,0,0,0,2,8223.150522520651
8224,92,0,0,0,2,8224.446174694565
8225,93,1,0,0,3,8137.404817977419
8226,93,0,0,0,3,8138.6419147516135
8227,94,1,0,0,4,8053.278170977661
8228,94,0,0,0,4,8054.589873105321
8229,94,0,0,1,4,8056.15583055213
8230,95,1,0,0,5,7972.709979704212
8231,95,0,0,0,5,7974.035769177897
8232,95,0,0,0,5,7975.548927072636
8233,95,0,0,1,5,7976.825242862109
8234,95,0,0,0,5,7978.501558651583
8235,95,0,0,0,5,7979.748400756846
8236,95,0,0,0,5,7981.203663914742
8237,95,0,0,1,5,7982.497874441058
8238,95,0,0,0,5,7984.0857691779
8239,95,0,0,0,5,7985.530506020006
8240,94,0,1,0,5,8071.647054766384
8241,94,0,0,0,4,8073.194927106811
8242,94,0,0,0,4,8074.288544128088
8243,94,0,0,0,4,8075.486416468513
8244,94,0,0,0,4,8076.944927106812
8245,94,0,0,0,4,8078.606629234471
8246,95,1,0,0,5,7995.096033137267
8247,95,0,0,0,5,7996.436559453057
8248,95,0,0,0,5,7997.679191032004
8249,95,0,0,0,5,7998.951296295163
8250,95,0,0,0,5,8000.754980505691
8251,95,0,0,0,5,8002.198664716217
8252,96,1,0,0,6,7919.989824458757
8253,96,1,1,0,7,7921.407411765224
8254,96,0,0,0,6,7922.612620098557
8255,96,0,0,0,6,7923.981370098558
8256,96,0,0,0,6,7925.416786765225
8257,96,0,0,0,6,7926.896995098559
8258,96,0,0,0,6,7928.287620098559
8259,96,0,0,0,6,7929.637620098561
8260,96,0,0,0,6,7931.015745098561
8261,96,0,0,0,6,7932.620953431894
8262,95,0,1,0,6,8017.6837601145935
8263,95,0,0,1,4,8019.037970640909
8264,95,0,0,0,4,8020.061654851437
8265,95,0,0,0,4,8021.3063916935425
8266,95,0,0,0,4,8022.2100759040695
8267,95,1,1,0,5,8023.183364879489
8268,94,0,1,0,4,8109.952610402323
8269,94,0,0,0,3,8111.458993381047
8270,94,0,0,0,3,8112.634525295942
8271,94,0,0,1,3,8113.633461466155
8272,96,2,0,0,5,7945.28172268561
8273,96,0,0,0,5,7946.792139352277
8274,97,1,0,0,6,7866.208715235243
8275,97,0,0,0,6,7867.649436884729
8276,97,0,0,0,6,7869.455106987822
8277,97,0,0,0,6,7870.552529668234
8278,97,0,0,0,6,7871.7334575032855
8279,97,0,0,0,6,7873.2051069878235
8280,97,0,0,0,6,7874.547890492978
8281,98,1,0,0,7,7795.04485079407
8282,98,0,0,0,7,7796.670360998152
8283,98,0,0,0,7,7797.985667120601
8284,97,0,1,0,7,7879.556064409996
8285,97,0,0,0,6,7880.7741056471095
8286,97,0,0,0,6,7881.940600492472
8287,97,0,0,0,6,7883.266889152266
8288,98,1,0,0,7,7804.1381453854065
8289,98,1,1,0,8,7805.569640389412
8290,97,0,1,0,7,7887.73008145565
8291,98,1,0,0,7,7808.346611236715
8292,98,0,0,0,7,7809.581305114266
8293,98,0,0,0,7,7810.984366338757
8294,98,0,0,0,7,7812.796611236716
8295,98,0,0,0,7,7813.560896951002
8296,98,0,0,0,7,7815.087427563248
8297,97,0,1,0,7,7896.916194090189
8298,97,0,0,0,6,7898.209493059262
8299,98,1,0,0,7,7818.919090068861
8300,97,0,1,1,7,7900.756784965731
8301,97,0,0,0,6,7901.702661254391
8302,98,1,0,0,7,7822.233756547714
8303,97,0,1,0,7,7904.3464411765135
8304,97,0,0,0,6,7905.832523650741
8305,97,0,0,0,6,7907.317575197133
8306,97,0,0,0,6,7908.598503032184
8307,97,0,0,0,6,7909.911389630123
8308,97,0,0,0,6,7911.762420557959
8309,97,0,0,0,6,7913.419637052804
8310,97,0,0,0,6,7914.791286537341
8311,97,0,0,0,6,7916.172214372393
8312,97,0,0,0,6,7917.437678289919
8313,96,0,1,0,6,8001.268691992494
8314,96,0,0,0,5,8002.702025325827
8315,95,0,1,1,5,8088.589925407887
8316,96,1,0,0,6,8005.384301184888
8317,96,0,0,0,6,8006.638467851554
8318,96,0,0,0,6,8007.758259518222
8319,95,0,1,0,6,8093.484431657954
8320,95,0,0,0,4,8094.607063236901
8321,95,0,0,0,4,8095.701273763218
8322,95,0,0,0,4,8096.883905342165
8323,95,1,1,0,5,8098.360816498357
8324,95,0,0,0,4,8099.935027024672
8325,95,0,0,0,4,8101.289237550989
8326,95,0,0,0,4,8102.727658603621
8327,95,0,0,0,4,8103.60923755099
8328,95,0,0,0,4,8104.9708164983585
8329,95,0,0,0,4,8106.660816498359
8330,96,1,0,0,5,8023.421120493168
8331,96,0,0,0,5,8024.898203826502
8332,96,0,0,0,5,8026.546120493168
8333,96,0,0,0,5,8027.880495493169
8334,96,0,0,0,5,8029.422162159836
8335,97,1,0,0,6,7947.817809972622
8336,97,0,0,0,6,7948.780181106643
8337,97,0,0,0,6,7950.230181106644
8338,97,0,0,0,6,7951.432758426231
8339,98,1,0,0,7,7871.535995585148
8340,98,1,1,0,8,7872.444548815579
8341,98,0,0,0,7,7874.1884263666
8342,98,0,0,0,7,7875.709854938028
8343,98,0,0,0,7,7876.980263101294
8344,98,0,0,0,7,7878.339446774764
8345,98,0,0,0,7,7879.754752897214
8346,99,1,0,0,8,7801.326927110373
8347,99,0,0,0,8,7802.764805898252
8348,99,0,0,0,8,7803.905714989161
8349,99,0,0,0,8,7805.174906908354
8350,99,0,0,0,8,7806.48753317098
8351,99,0,0,0,8,7808.372886706334
8352,98,0,1,0,8,7889.833207866952
8353,98,0,0,0,7,7891.06075888736
8354,99,1,0,0,8,7812.591458292538
8355,100,1,0,1,10,7735.859043709614
8356,100,1,0,0,10,7737.101043709613
8357,100,0,0,0,10,7738.567043709614
8358,100,0,0,0,10,7739.9880437096135
8359,100,0,0,0,10,7741.095043709614
8360,100,0,0,1,10,7742.641043709616
8361,100,0,0,0,10,7744.063043709615
8362,100,0,0,0,10,7744.996043709615
8363,99,0,1,0,10,7824.779260528365
8364,99,0,0,1,9,7826.205018104122
8365,99,0,0,0,9,7827.875220124325
8366,99,0,0,0,9,7828.9262302253355
8367,98,0,1,0,9,7910.538638068794
8368,98,0,0,0,8,7911.737617660631
8369,98,0,0,0,8,7913.382515619815
8370,99,1,0,0,9,7834.456429603454
8371,100,1,0,0,10,7757.32836530742
8372,100,0,0,0,10,7758.57236530742
8373,100,0,0,0,10,7759.78336530742
8374,100,0,0,0,10,7761.114365307421
8375,100,0,0,1,10,7762.112365307421
8376,100,0,0,0,10,7763.645365307422
8377,100,0,0,1,10,7765.345365307422
8378,99,0,1,0,10,7844.75095305059
8379,98,0,1,0,9,7926.2321311858495
8380,98,0,0,0,8,7927.697437308299
8381,98,0,0,0,8,7929.230090369524
8382,97,0,1,0,8,8012.321756754661
8383,97,0,0,0,7,8013.54907634229
8384,97,0,0,0,7,8014.915571187652
8385,96,0,1,0,7,8099.595406870639
8386,95,0,1,0,6,8185.971179665898
8387,95,0,0,0,5,8187.592758613266
8388,95,0,0,0,5,8189.136442823793
8389,95,0,0,0,5,8190.872758613267
